Event,Particle,Energy(keV),PosX(cm),PosY(cm),PosZ(cm),Time(ns)
0,neutron,0,0,0,0,0
1,neutron,0,0,0,0,0
2,neutron,0,0,0,0,0
3,neutron,0,0,0,0,0
3,neutron,0,-80.1438,-59.8078,-23.105,26.8481
3,neutron,0,0.44057,-99.999,-33.213,134.047
3,neutron,0,47.2586,-88.1284,-68.91,223.366
3,neutron,0,-83.0185,55.7488,29.8536,480.791
3,neutron,0,-87.6241,-48.1874,79.9324,618.757
3,neutron,0,90.9863,41.4909,63.0113,888.119
3,neutron,0,-78.5603,-61.8731,-13.3069,31.6496
3,neutron,0,45.459,-89.0701,17.148,128.84
4,neutron,0,0,0,0,0
5,neutron,0,0,0,0,0
6,neutron,0,0,0,0,0
7,neutron,0,0,0,0,0
8,neutron,0,0,0,0,0
9,neutron,0,0,0,0,0
0,neutron,0,0,0,0,0
0,neutron,0,0,0,0,0
0,neutron,0,0,0,0,0
0,neutron,0,0,0,0,0
0,neutron,0,0,0,0,0
0,neutron,0,0,0,0,0
0,neutron,0,0,0,0,0
0,neutron,0,0,0,0,0
0,neutron,0,0,0,0,0
0,gamma,0,99.706,-7.66202,-26.9653,24.4864
0,neutron,0,0,0,0,0
0,gamma,0,-43.2068,90.1841,-43.0118,25.1617
0,gamma,0,-43.7609,89.9166,-43.6869,25.1641
0,gamma,0,-43.9023,89.8476,-42.4964,25.1437
0,gamma,0,-44.0387,89.7808,-42.6624,25.1412
0,neutron,0,-40.4435,91.4567,-69.0291,123.996
0,neutron,0,70.3268,-71.0925,-5.29074,482.957
0,neutron,0,0,0,0,0
0,neutron,0,98.9966,-14.1305,9.8128,37.1379
0,neutron,0,-58.0331,81.438,68.2817,327.456
