Event,Particle,Energy(keV),PosX(cm),PosY(cm),PosZ(cm),Time(ns)
1,neutron,0,69.7754,-71.6337,-54.266,26.2193
1,gamma,0.29745,71.2678,-73.1659,-55.4266,26.7801
1,gamma,0.1139,69.987,-75.8377,-57.9557,26.91
1,gamma,0.05484,70.3279,-76.0911,-58.3064,26.9284
1,gamma,0.39121,70.6281,-76.2524,-58.3514,26.9399
1,e-,0.05607,70.532,-76.1816,-58.3459,26.9438
1,e-,0.0328,70.532,-76.1816,-58.3459,26.9438
1,e-,0.05607,70.532,-76.1816,-58.3459,26.9438
1,e-,0.03558,70.532,-76.1816,-58.3459,26.9438
1,e-,0.01589,70.532,-76.1816,-58.3459,26.9438
1,e-,0.03414,70.532,-76.1816,-58.3459,26.9438
1,e-,0.01589,70.532,-76.1816,-58.3459,26.9438
1,e-,0.05607,70.532,-76.1816,-58.3459,26.9438
1,e-,0.03414,70.532,-76.1816,-58.3459,26.9438
1,e-,0,70.532,-76.1816,-58.3459,26.9438
1,e-,0.11185,70.532,-76.1816,-58.3459,26.9438
1,e-,0.0849827,70.532,-76.1816,-58.3459,26.9438
1,e-,0.612877,70.532,-76.1816,-58.3459,26.9438
1,e-,0.01087,70.532,-76.1816,-58.3459,26.9438
1,e-,0.25861,70.532,-76.1816,-58.3459,26.9438
1,e-,0.09575,70.532,-76.1816,-58.3459,26.9438
1,e-,0.0982,70.532,-76.1816,-58.3459,26.9438
1,e-,0.0982,70.532,-76.1816,-58.3459,26.9438
1,e-,0.0704224,70.532,-76.1816,-58.3459,26.9438
1,e-,1.12937,70.532,-76.1816,-58.3459,26.9438
1,e-,0.00947596,70.532,-76.1816,-58.3459,26.9438
1,e-,0.163504,70.532,-76.1816,-58.3459,26.9438
1,e-,0,70.532,-76.1816,-58.3459,26.9438
1,e-,2.29385,70.532,-76.1816,-58.3459,26.9438
1,e-,0.10098,70.532,-76.1816,-58.3459,26.9438
1,e-,0,70.532,-76.1816,-58.3459,26.9438
1,e-,0.41256,70.532,-76.1816,-58.3459,26.9438
1,e-,0,70.532,-76.1816,-58.3459,26.9438
1,e-,0.19858,70.532,-76.1816,-58.3459,26.9438
1,e-,0.175937,70.532,-76.1816,-58.3459,26.9438
1,e-,0.440723,70.532,-76.1816,-58.3459,26.9438
1,e-,0.0343809,70.532,-76.1816,-58.3459,26.9438
1,e-,7.84302,70.532,-76.1816,-58.3459,26.9438
1,gamma,0,70.532,-76.1816,-58.3459,26.9438
1,gamma,0.85487,70.5033,-76.1548,-58.3593,26.9452
1,e-,0.05607,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.03558,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.05607,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.05607,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.05329,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.09297,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.0982,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.0328,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.02708,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.0982,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.03136,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.01332,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.01087,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.0161,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.11164,70.4591,-76.1522,-58.3487,26.9467
1,e-,0,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.19455,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.0585852,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.174835,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.13438,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.0328,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.11164,70.4591,-76.1522,-58.3487,26.9467
1,e-,0,70.4591,-76.1522,-58.3487,26.9467
1,e-,1.64128,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.09297,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.029,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.03414,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.0982,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.15311,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.0471474,70.4591,-76.1522,-58.3487,26.9467
1,e-,2.47762,70.4591,-76.1522,-58.3487,26.9467
1,e-,0,70.4591,-76.1522,-58.3487,26.9467
1,e-,2.18815,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.212449,70.4591,-76.1522,-58.3487,26.9467
1,e-,6.22365,70.4591,-76.1522,-58.3487,26.9467
1,e-,0,70.4591,-76.1522,-58.3487,26.9467
1,e-,0.318,70.4591,-76.1522,-58.3487,26.9467
1,e-,1.51595,70.4591,-76.1522,-58.3487,26.9467
1,e-,55.6561,70.459,-76.1523,-58.3487,26.9467
1,e-,0.487772,70.532,-76.1816,-58.3459,26.9438
1,e-,59.2586,70.532,-76.1817,-58.346,26.9438
1,e-,22.4646,70.5319,-76.1818,-58.346,26.9439
1,e-,0.0328,70.6281,-76.2524,-58.3514,26.9399
1,e-,12.3898,70.6281,-76.2524,-58.3514,26.9399
1,e-,44.8343,70.6287,-76.2525,-58.3511,26.9399
1,e-,52.1895,70.6292,-76.2522,-58.3499,26.9399
1,e-,51.0013,70.6292,-76.2511,-58.3499,26.94
1,e-,129.222,70.6295,-76.2509,-58.3492,26.94
1,e-,53.0781,70.6294,-76.251,-58.3497,26.94
1,e-,0.05461,70.3279,-76.0911,-58.3064,26.9284
1,e-,0.0328,70.3279,-76.0911,-58.3064,26.9284
1,e-,0.03414,70.3279,-76.0911,-58.3064,26.9284
1,e-,0,70.3279,-76.0911,-58.3064,26.9284
1,e-,0.17704,70.3279,-76.0911,-58.3064,26.9284
1,e-,0.655726,70.3279,-76.0911,-58.3064,26.9284
1,e-,69.5273,70.328,-76.0912,-58.3065,26.9284
1,e-,30.794,70.3282,-76.0911,-58.3065,26.9284
1,e-,0.0328,69.987,-75.8377,-57.9557,26.91
1,e-,0.03558,69.987,-75.8377,-57.9557,26.91
1,e-,0.09297,69.987,-75.8377,-57.9557,26.91
1,e-,0.03414,69.987,-75.8377,-57.9557,26.91
1,e-,0.03414,69.987,-75.8377,-57.9557,26.91
1,e-,0.09799,69.987,-75.8377,-57.9557,26.91
1,e-,0.23587,69.987,-75.8377,-57.9557,26.91
1,e-,0,69.987,-75.8377,-57.9557,26.91
1,e-,0.11687,69.987,-75.8377,-57.9557,26.91
1,e-,0,69.987,-75.8377,-57.9557,26.91
1,e-,0.1907,69.987,-75.8377,-57.9557,26.91
1,e-,0.0270523,69.987,-75.8377,-57.9557,26.91
1,e-,1.29344,69.987,-75.8377,-57.9557,26.91
1,gamma,0.13301,69.987,-75.8377,-57.9557,26.91
1,e-,0.0328,69.9891,-75.8415,-57.9521,26.9102
1,e-,0.09575,69.9891,-75.8415,-57.9521,26.9102
1,e-,0.03659,69.9891,-75.8415,-57.9521,26.9102
1,e-,0.0198308,69.9891,-75.8415,-57.9521,26.9102
1,e-,2.27402,69.9891,-75.8415,-57.9521,26.9102
1,e-,0,69.9891,-75.8415,-57.9521,26.9102
1,e-,7.959,69.9891,-75.8415,-57.9521,26.9102
1,e-,2.74499,69.987,-75.8377,-57.9557,26.91
1,e-,66.8726,69.9867,-75.8381,-57.9557,26.91
1,e-,34.1806,69.9864,-75.839,-57.9555,26.9101
1,e-,36.9273,69.9858,-75.8393,-57.9557,26.9101
1,e-,53.3388,69.9858,-75.839,-57.9561,26.9101
1,e-,35.4977,69.9856,-75.8392,-57.9563,26.9102
1,e-,40.7633,69.9857,-75.8391,-57.9564,26.9102
1,gamma,0.21658,71.2678,-73.1659,-55.4266,26.7801
1,gamma,0,70.1963,-74.1503,-56.1448,26.8342
1,e-,0.0085,69.4666,-74.231,-56.3741,26.8599
1,e-,0.01332,69.4666,-74.231,-56.3741,26.8599
1,e-,0.13438,69.4666,-74.231,-56.3741,26.8599
1,gamma,0.19027,69.4666,-74.231,-56.3741,26.8599
1,e-,0.05329,69.4667,-74.2305,-56.3742,26.8599
1,e-,0.10673,69.4667,-74.2305,-56.3742,26.8599
1,e-,0.01332,69.4667,-74.2305,-56.3742,26.8599
1,e-,0.09575,69.4667,-74.2305,-56.3742,26.8599
1,e-,0,69.4667,-74.2305,-56.3742,26.8599
1,e-,2.29385,69.4667,-74.2305,-56.3742,26.8599
1,e-,0,69.4667,-74.2305,-56.3742,26.8599
1,e-,0.80679,69.4667,-74.2305,-56.3742,26.8599
1,e-,0.192362,69.4667,-74.2305,-56.3742,26.8599
1,e-,11.0634,69.4667,-74.2305,-56.3742,26.8599
1,gamma,0.60146,69.4666,-74.231,-56.3741,26.8599
1,e-,0.05607,69.4602,-74.2288,-56.36,26.8604
1,e-,0.05607,69.4602,-74.2288,-56.36,26.8604
1,e-,0.0328,69.4602,-74.2288,-56.36,26.8604
1,e-,0.05607,69.4602,-74.2288,-56.36,26.8604
1,e-,0.01332,69.4602,-74.2288,-56.36,26.8604
1,e-,0.05607,69.4602,-74.2288,-56.36,26.8604
1,e-,0.01087,69.4602,-74.2288,-56.36,26.8604
1,e-,0.03916,69.4602,-74.2288,-56.36,26.8604
1,e-,0.0162836,69.4602,-74.2288,-56.36,26.8604
1,e-,0.154996,69.4602,-74.2288,-56.36,26.8604
1,e-,0.05607,69.4602,-74.2288,-56.36,26.8604
1,e-,0.09297,69.4602,-74.2288,-56.36,26.8604
1,e-,0.15377,69.4602,-74.2288,-56.36,26.8604
1,e-,0.0982,69.4602,-74.2288,-56.36,26.8604
1,e-,0.04624,69.4602,-74.2288,-56.36,26.8604
1,e-,0.01332,69.4602,-74.2288,-56.36,26.8604
1,e-,0.0308466,69.4602,-74.2288,-56.36,26.8604
1,e-,1.89785,69.4602,-74.2288,-56.36,26.8604
1,e-,0.09575,69.4602,-74.2288,-56.36,26.8604
1,e-,0.0374206,69.4602,-74.2288,-56.36,26.8604
1,e-,1.66424,69.4602,-74.2288,-56.36,26.8604
1,e-,0,69.4602,-74.2288,-56.36,26.8604
1,e-,0.41256,69.4602,-74.2288,-56.36,26.8604
1,e-,0.0381824,69.4602,-74.2288,-56.36,26.8604
1,e-,0.379608,69.4602,-74.2288,-56.36,26.8604
1,e-,0.0643574,69.4602,-74.2288,-56.36,26.8604
1,e-,6.86644,69.4602,-74.2288,-56.36,26.8604
1,e-,5.58035,69.4602,-74.2288,-56.36,26.8604
1,e-,54.4177,69.4602,-74.2288,-56.36,26.8604
1,e-,18.1561,69.4666,-74.231,-56.3741,26.8599
1,e-,82.8231,69.4658,-74.2311,-56.3744,26.8599
1,e-,66.1688,69.4646,-74.2304,-56.3747,26.8599
1,e-,36.2223,69.4641,-74.2305,-56.3756,26.86
1,e-,24.5535,69.4647,-74.2305,-56.3756,26.86
1,e-,45.5563,69.4647,-74.2308,-56.3753,26.86
1,e-,51.723,69.4647,-74.2309,-56.3749,26.8601
1,e-,39.7714,69.4648,-74.231,-56.375,26.8601
1,e-,0.05607,70.1963,-74.1503,-56.1448,26.8342
1,e-,0.09575,70.1963,-74.1503,-56.1448,26.8342
1,e-,0.09799,70.1963,-74.1503,-56.1448,26.8342
1,e-,0.0982,70.1963,-74.1503,-56.1448,26.8342
1,e-,0.15377,70.1963,-74.1503,-56.1448,26.8342
1,e-,0.12936,70.1963,-74.1503,-56.1448,26.8342
1,e-,0,70.1963,-74.1503,-56.1448,26.8342
1,e-,1.64128,70.1963,-74.1503,-56.1448,26.8342
1,e-,1.7481,70.1963,-74.1503,-56.1448,26.8342
1,e-,39.1463,70.1964,-74.1504,-56.1448,26.8342
1,e-,50.3648,70.1962,-74.1505,-56.1446,26.8342
1,e-,23.0449,70.1961,-74.1505,-56.1445,26.8342
1,neutron,0,71.2678,-73.1659,-55.4266,26.7801
1,neutron,0,71.9398,-73.6978,-55.0933,27.5512
1,Pb206,4.55524,71.9398,-73.6978,-55.0933,27.5512
1,Pb206,0,71.9398,-73.6978,-55.0933,27.5512
1,neutron,0,71.2678,-73.1659,-55.4266,26.7801
3,neutron,0,-81.5427,-57.8861,-22.7327,23.6328
3,gamma,0,-82.4195,-58.5085,-22.9772,23.8869
3,e-,0.07163,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0.09575,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0.0272475,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0.211402,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0.24963,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0.09297,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0.0982,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0.0278486,-83.0151,-59.6507,-23.1049,23.9301
3,e-,1.63617,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0.0343451,-83.0151,-59.6507,-23.1049,23.9301
3,e-,2.1538,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0.14211,-83.0151,-59.6507,-23.1049,23.9301
3,e-,7.91989,-83.0151,-59.6507,-23.1049,23.9301
3,gamma,0.55611,-83.0151,-59.6507,-23.1049,23.9301
3,e-,0.05607,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.03558,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.01332,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.03414,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.0982,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.0328,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.25616,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.03558,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.05885,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.11164,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.11143,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.04512,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.0982,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.01311,-83.0087,-59.6522,-23.1034,23.9303
3,e-,1.44221,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.09297,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.0323112,-83.0087,-59.6522,-23.1034,23.9303
3,e-,2.26154,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.41277,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.0662758,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0.740514,-83.0087,-59.6522,-23.1034,23.9303
3,e-,0,-83.0087,-59.6522,-23.1034,23.9303
3,e-,6.4361,-83.0087,-59.6522,-23.1034,23.9303
3,e-,1.6716,-83.0087,-59.6522,-23.1034,23.9303
3,e-,42.9277,-83.0086,-59.6522,-23.1034,23.9303
3,e-,17.6097,-83.0086,-59.6522,-23.1034,23.9303
3,e-,29.8171,-83.0151,-59.6507,-23.1049,23.9301
3,e-,103.256,-83.0161,-59.6531,-23.1051,23.9302
