Event,Particle,Energy(keV),PosX(cm),PosY(cm),PosZ(cm),Time(ns)
57,N14,55.2619,-17.6564,10.7006,-33.0442,260.955
57,N14,53.333,-17.6598,10.7074,-33.057,261.023
57,N14,47.0192,-17.6624,10.7141,-33.0694,261.093
57,N14,38.7003,-17.6654,10.7203,-33.0813,261.167
57,N14,35.6749,-17.6687,10.7264,-33.0925,261.244
57,N14,31.8997,-17.6717,10.7324,-33.1029,261.322
57,N14,27.5876,-17.6733,10.7385,-33.112,261.401
57,N14,23.6433,-17.6756,10.7437,-33.1204,261.48
57,N14,18.1344,-17.6747,10.7518,-33.1241,261.558
57,N14,15.0549,-17.6736,10.7592,-33.1272,261.636
57,N14,12.9182,-17.6712,10.7655,-33.1296,261.714
57,N14,11.4635,-17.6689,10.7711,-33.1312,261.791
57,N14,9.49918,-17.6667,10.7753,-33.134,261.867
57,N14,9.534,-17.6643,10.7786,-33.136,261.941
57,N14,6.10519,-17.6616,10.7805,-33.1373,262.011
57,N14,5.42732,-17.6599,10.7824,-33.1369,262.075
57,N14,4.72932,-17.6593,10.7837,-33.1376,262.125
57,N14,2.09587,-17.6591,10.7839,-33.1378,262.144
57,N14,0.0405015,-17.6595,10.7837,-33.1378,262.296
75,N14,35.7208,8.47424,4.10201,23.0551,12.8239
75,N14,33.0934,8.48426,4.09892,23.0616,12.9027
75,N14,28.362,8.49321,4.09555,23.0672,12.9814
75,N14,22.7294,8.50084,4.09262,23.0728,13.0599
75,N14,19.2205,8.50769,4.08984,23.0777,13.1383
75,N14,16.3793,8.51352,4.08759,23.0825,13.2164
75,N14,11.2129,8.51912,4.08552,23.086,13.294
75,N14,11.3957,8.5249,4.08562,23.088,13.3709
75,N14,10.4286,8.52965,4.08464,23.09,13.4465
75,N14,9.43378,8.5332,4.08242,23.0907,13.5196
75,N14,6.81378,8.53592,4.08104,23.0905,13.5867
75,N14,4.762,8.53677,4.08036,23.092,13.6411
75,N14,2.64428,8.53701,4.08087,23.0923,13.6706
75,N14,0.727271,8.53702,4.08088,23.0923,13.6773
