Event,Particle,Energy(keV),PosX(cm),PosY(cm),PosZ(cm),Time(ns)
0,gamma,0.08365,-85.2047,58.2013,4.46087,56.1736
0,gamma,0.39222,-85.0904,58.3367,4.66416,56.1827
0,gamma,0.3763,-85.1265,58.3666,4.72894,56.1854
0,e-,0.03558,-85.1265,58.3666,4.72894,56.1854
0,e-,0.05607,-85.1265,58.3666,4.72894,56.1854
0,e-,0.0328,-85.1265,58.3666,4.72894,56.1854
0,e-,0.03916,-85.1265,58.3666,4.72894,56.1854
0,e-,0.01332,-85.1265,58.3666,4.72894,56.1854
0,e-,0.03558,-85.1265,58.3666,4.72894,56.1854
0,e-,0.0328,-85.1265,58.3666,4.72894,56.1854
0,e-,0.09542,-85.1265,58.3666,4.72894,56.1854
0,e-,0.03558,-85.1265,58.3666,4.72894,56.1854
0,e-,0.03659,-85.1265,58.3666,4.72894,56.1854
0,e-,0.12936,-85.1265,58.3666,4.72894,56.1854
0,e-,0.03638,-85.1265,58.3666,4.72894,56.1854
0,e-,0.00943898,-85.1265,58.3666,4.72894,56.1854
0,e-,0.185111,-85.1265,58.3666,4.72894,56.1854
0,e-,0.03638,-85.1265,58.3666,4.72894,56.1854
0,e-,0.0328,-85.1265,58.3666,4.72894,56.1854
0,e-,0.000237257,-85.1265,58.3666,4.72894,56.1854
0,e-,0.167513,-85.1265,58.3666,4.72894,56.1854
0,e-,0.35765,-85.1265,58.3666,4.72894,56.1854
0,e-,0.28866,-85.1265,58.3666,4.72894,56.1854
0,e-,0.126771,-85.1265,58.3666,4.72894,56.1854
0,e-,0.106859,-85.1265,58.3666,4.72894,56.1854
0,e-,0.03306,-85.1265,58.3666,4.72894,56.1854
0,e-,1.19979,-85.1265,58.3666,4.72894,56.1854
0,e-,0.0544053,-85.1265,58.3666,4.72894,56.1854
0,e-,2.20568,-85.1265,58.3666,4.72894,56.1854
0,e-,0.0315673,-85.1265,58.3666,4.72894,56.1854
0,e-,9.18113,-85.1265,58.3666,4.72894,56.1854
0,gamma,0.43427,-85.1382,58.3753,4.76818,56.1868
0,e-,0.0328,-85.1382,58.3753,4.76818,56.1868
0,e-,0.03558,-85.1382,58.3753,4.76818,56.1868
0,e-,0.05607,-85.1382,58.3753,4.76818,56.1868
0,e-,0.03414,-85.1382,58.3753,4.76818,56.1868
0,e-,0.0982,-85.1382,58.3753,4.76818,56.1868
0,e-,0.09575,-85.1382,58.3753,4.76818,56.1868
0,e-,0.03414,-85.1382,58.3753,4.76818,56.1868
0,e-,0.01087,-85.1382,58.3753,4.76818,56.1868
0,e-,0.13438,-85.1382,58.3753,4.76818,56.1868
0,e-,0.0982,-85.1382,58.3753,4.76818,56.1868
0,e-,0.11687,-85.1382,58.3753,4.76818,56.1868
0,e-,0.29368,-85.1382,58.3753,4.76818,56.1868
0,e-,0.0493171,-85.1382,58.3753,4.76818,56.1868
0,e-,1.97985,-85.1382,58.3753,4.76818,56.1868
0,e-,0.35288,-85.1382,58.3753,4.76818,56.1868
0,e-,1.62126,-85.1382,58.3753,4.76819,56.1868
0,e-,33.8601,-85.138,58.3753,4.76821,56.1868
0,e-,33.7006,-85.1381,58.3753,4.76823,56.1868
0,e-,3.90147,-85.1265,58.3666,4.72921,56.1854
0,e-,34.2476,-85.1266,58.366,4.72948,56.1854
0,e-,39.3251,-85.1267,58.3664,4.72947,56.1855
0,e-,46.6579,-85.1267,58.3663,4.72969,56.1855
0,e-,49.3142,-85.1267,58.3662,4.7296,56.1855
0,e-,16.9113,-85.1267,58.3662,4.72961,56.1855
0,e-,0.09575,-85.0904,58.3367,4.66416,56.1827
0,e-,0.09542,-85.0904,58.3367,4.66416,56.1827
0,e-,0.05607,-85.0904,58.3367,4.66416,56.1827
0,e-,0.05329,-85.0904,58.3367,4.66416,56.1827
0,e-,0.09542,-85.0904,58.3367,4.66416,56.1827
0,e-,0.13438,-85.0904,58.3367,4.66416,56.1827
0,e-,0.01332,-85.0904,58.3367,4.66416,56.1827
0,e-,0.01332,-85.0904,58.3367,4.66416,56.1827
0,e-,0.424762,-85.0904,58.3367,4.66416,56.1827
0,e-,1.58167,-85.0904,58.3367,4.66416,56.1827
0,e-,0.09297,-85.0904,58.3367,4.66416,56.1827
0,gamma,0.1236,-85.0906,58.3366,4.66411,56.1827
0,e-,0.09575,-85.0906,58.3366,4.66411,56.1827
0,e-,0.23865,-85.0906,58.3366,4.66411,56.1827
0,e-,0.193,-85.0906,58.3366,4.66411,56.1827
0,e-,0.0452114,-85.0906,58.3366,4.66411,56.1827
0,e-,1.74545,-85.0906,58.3366,4.66411,56.1827
0,e-,0.0682658,-85.0904,58.3367,4.66416,56.1827
0,e-,0.733294,-85.0904,58.3367,4.66416,56.1827
0,e-,0.0413821,-85.0904,58.3367,4.66416,56.1827
0,e-,0.765408,-85.0904,58.3367,4.66416,56.1827
0,e-,8.1524,-85.0904,58.3367,4.66416,56.1827
0,e-,3.28913,-85.0904,58.3367,4.66416,56.1827
0,e-,0.05607,-85.2047,58.2013,4.46087,56.1736
0,e-,0.01311,-85.2047,58.2013,4.46087,56.1736
0,e-,13.7429,-85.2059,58.2012,4.46103,56.1737
0,e-,91.1142,-85.2083,58.2013,4.46057,56.1738
0,e-,9.62391,-85.2078,58.2017,4.46112,56.1738
0,e-,40.396,-85.2073,58.2017,4.46133,56.1738
0,e-,43.703,-85.2073,58.2019,4.46117,56.1739
0,e-,50.2034,-85.2074,58.2019,4.46109,56.1739
0,e-,26.3148,-85.2074,58.2019,4.46111,56.1739
0,e-,0.02708,-85.1981,58.2236,4.46111,56.1746
0,e-,2.28862,-85.1981,58.2236,4.46111,56.1746
0,gamma,0.37943,-85.1996,58.2262,4.46208,56.1747
0,e-,0.05329,-85.1996,58.2262,4.46208,56.1747
0,e-,0.09575,-85.1996,58.2262,4.46208,56.1747
0,e-,0.09575,-85.1996,58.2262,4.46208,56.1747
0,e-,0.09575,-85.1996,58.2262,4.46208,56.1747
0,e-,0.01087,-85.1996,58.2262,4.46208,56.1747
0,e-,0.23865,-85.1996,58.2262,4.46208,56.1747
0,e-,0.0328,-85.1996,58.2262,4.46208,56.1747
0,e-,0.11687,-85.1996,58.2262,4.46208,56.1747
0,e-,1.9287,-85.1996,58.2262,4.46208,56.1747
0,e-,0.03414,-85.1996,58.2262,4.46208,56.1747
0,e-,0.15311,-85.1996,58.2262,4.46208,56.1747
0,e-,0.30983,-85.1996,58.2262,4.46208,56.1747
0,e-,0.31206,-85.1996,58.2262,4.46208,56.1747
0,e-,0.0190449,-85.1996,58.2263,4.46208,56.1747
0,e-,8.78026,-85.1996,58.2263,4.46208,56.1747
0,gamma,0.19763,-85.1961,58.2242,4.46426,56.1747
0,e-,0.0328,-85.1961,58.2242,4.46426,56.1747
0,e-,0.00809,-85.1961,58.2242,4.46426,56.1747
0,e-,0.09297,-85.1961,58.2242,4.46426,56.1747
0,e-,0.0982,-85.1961,58.2242,4.46426,56.1747
0,e-,0.23865,-85.1961,58.2242,4.46426,56.1747
0,e-,0.13438,-85.1961,58.2242,4.46426,56.1747
0,e-,0.0200958,-85.1961,58.2242,4.46426,56.1747
0,e-,1.72688,-85.1961,58.2243,4.46426,56.1747
0,gamma,0.18028,-85.1956,58.2226,4.46409,56.1748
0,e-,0.09542,-85.1956,58.2226,4.46409,56.1748
0,e-,0.0982,-85.1956,58.2226,4.46409,56.1748
0,e-,0.05607,-85.1956,58.2226,4.46409,56.1748
0,e-,0.12915,-85.1956,58.2226,4.46409,56.1748
0,e-,0.0506834,-85.1956,58.2226,4.46409,56.1748
0,e-,0.159197,-85.1956,58.2226,4.46409,56.1748
0,e-,0.487422,-85.1956,58.2226,4.46409,56.1748
0,e-,11.3999,-85.1956,58.2226,4.46409,56.1748
0,e-,1.72272,-85.1961,58.2242,4.4643,56.1747
0,e-,56.1103,-85.1961,58.2242,4.46439,56.1747
0,e-,7.41283,-85.198,58.2238,4.46115,56.1746
0,e-,70.9371,-85.1981,58.2241,4.46123,56.1746
0,e-,64.5792,-85.1981,58.2241,4.46132,56.1747
0,Pb206,16.7283,-85.1939,58.4954,4.36702,56.1633
0,Pb208,0.949655,78.1601,68.8229,67.2684,182.532
0,Pb206,19.8302,-84.3792,56.6935,4.81715,62.2616
0,Pb208,20.4378,-81.725,59.0329,7.17153,59.3592
0,Pb208,3.27933,-84.3076,58.842,4.43256,56.8081
0,Pb208,29.4273,-85.2498,59.0627,9.012,53.7467
0,Pb208,1.14906,-84.7095,56.8596,7.95162,52.4644
0,Pb208,3.1783,-84.3276,56.3192,7.55405,52.0675
1,Pb206,2.72629,41.291,-93.9577,-95.1657,71.6666
5,gamma,0.05484,85.8955,-56.6623,24.7054,64.1651
5,gamma,0.04727,85.8316,-56.7745,24.839,64.1713
5,e-,0.0328,85.8316,-56.7745,24.839,64.1713
5,e-,0.0328,85.8316,-56.7745,24.839,64.1713
5,e-,0.09575,85.8316,-56.7745,24.839,64.1713
5,e-,0.0982,85.8316,-56.7745,24.839,64.1713
5,e-,0.05607,85.8316,-56.7745,24.839,64.1713
5,e-,0.03136,85.8316,-56.7745,24.839,64.1713
5,e-,0.03414,85.8316,-56.7745,24.839,64.1713
5,e-,2.75375,85.8316,-56.7745,24.839,64.1713
5,e-,0.15377,85.8316,-56.7745,24.839,64.1713
5,e-,0.201966,85.8316,-56.7745,24.839,64.1713
5,e-,0.144924,85.8316,-56.7745,24.839,64.1713
5,e-,0.193373,85.8315,-56.7745,24.839,64.1713
5,e-,11.0958,85.8315,-56.7745,24.839,64.1713
5,gamma,0.59443,85.8308,-56.7731,24.8329,64.1715
5,e-,0.05607,85.8308,-56.7731,24.8329,64.1715
5,e-,0.05607,85.8308,-56.7731,24.8329,64.1715
5,e-,0.01087,85.8308,-56.7731,24.8329,64.1715
5,e-,0.00809,85.8308,-56.7731,24.8329,64.1715
5,e-,0.0328,85.8308,-56.7731,24.8329,64.1715
5,e-,0.11687,85.8308,-56.7731,24.8329,64.1715
5,e-,0.0328,85.8308,-56.7731,24.8329,64.1715
5,e-,0.0328,85.8308,-56.7731,24.8329,64.1715
5,e-,0.05607,85.8308,-56.7731,24.8329,64.1715
5,e-,0.09019,85.8308,-56.7731,24.8329,64.1715
5,e-,1.98887,85.8308,-56.7731,24.8329,64.1715
5,e-,0.09575,85.8308,-56.7731,24.8329,64.1715
5,e-,0.03659,85.8308,-56.7731,24.8329,64.1715
5,e-,0.03414,85.8308,-56.7731,24.8329,64.1715
5,e-,0.0161,85.8308,-56.7731,24.8329,64.1715
5,e-,0.0436026,85.8308,-56.7731,24.8329,64.1715
5,e-,0.374187,85.8308,-56.7731,24.8329,64.1715
5,e-,2.75375,85.8308,-56.7731,24.8329,64.1715
5,e-,0.0680701,85.8308,-56.7731,24.8329,64.1715
5,e-,2.22578,85.8308,-56.7731,24.8329,64.1715
5,e-,0.079931,85.8308,-56.7731,24.8329,64.1715
5,e-,6.85087,85.8308,-56.7731,24.8329,64.1715
5,e-,0.0219506,85.8308,-56.7731,24.8329,64.1715
5,e-,0.190349,85.8308,-56.7731,24.8329,64.1715
5,e-,1.13163,85.8308,-56.773,24.8328,64.1715
5,e-,48.2126,85.8308,-56.773,24.8328,64.1715
5,e-,7.82778,85.8308,-56.773,24.8328,64.1715
5,e-,15.7087,85.8309,-56.7753,24.8397,64.1714
5,e-,95.1522,85.8294,-56.7765,24.8404,64.1714
5,e-,53.0761,85.8297,-56.7759,24.8391,64.1715
5,e-,257.228,85.8298,-56.777,24.8395,64.1715
5,e-,38.0362,85.8298,-56.777,24.8395,64.1715
5,e-,0.05607,85.8955,-56.6623,24.7054,64.1651
5,e-,5.74333,85.8957,-56.6617,24.7058,64.1651
5,e-,118.034,85.8968,-56.6615,24.7048,64.1652
5,e-,47.172,85.8975,-56.6613,24.7045,64.1652
5,e-,53.8809,85.8971,-56.6609,24.7044,64.1653
5,e-,56.3045,85.8974,-56.6607,24.7044,64.1653
5,e-,69.2857,85.8974,-56.6608,24.7045,64.1653
5,Pb207,2.27103,85.9546,-56.7371,24.3583,64.1531
5,Pb206,0.895322,83.5771,-69.7973,15.7731,83.1222
5,Pb208,12.8808,82.2184,-69.3079,16.1967,82.0216
5,Pb206,10.3164,90.3726,-59.3332,15.028,72.6328
5,Pb207,2.65599,90.092,-58.8221,20.9653,68.3252
5,Pb206,0.325921,88.6615,-58.3611,22.3608,66.8475
